District,Block,Panchayat,lat,long,Remarks,Sr. No.,Generated,Comments,match_status,matched_name,matched_address,coordinate_type,match_note,google_maps_url,google_id,source_query,source_url,retrieved_utc
Keonjhar,Banspal,Jatra,21.6464426,85.3678783,FES,1,Already generated & active,Banspal block falls in tehsil - Keonjhar (Kendujhar),name_and_query_agreement,Jatra,"Jatra, Odisha 758085",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=15134912761822430126,0x3a1f0e623b4f58b9:0xd20a02f7faf3c3ae,"Jatra, Banspal, Keonjhar, Odisha, India",https://www.google.com/search?tbm=map&q=Jatra%2C+Banspal%2C+Keonjhar%2C+Odisha%2C+India&hl=en,2026-09-24T08:08:51.005067+00:00
Keonjhar,Banspal,Gonasika,21.5388866,85.5135858,FES,2,,,name_and_query_agreement,Gonasika,"Gonasika, Odisha 758018",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=11459570694214429254,0x3a1f1b8e8c222b0b:0x9f0892d4bb20aa46,"Gonasika, Banspal, Keonjhar, Odisha, India",https://www.google.com/search?tbm=map&q=Gonasika%2C+Banspal%2C+Keonjhar%2C+Odisha%2C+India&hl=en,2026-09-24T08:08:52.834883+00:00
Keonjhar,Banspal,Suakati,21.6043925,85.5161612,FES,3,,,name_and_query_agreement,Suakati,"Suakati, Odisha 758018",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=606145309187106821,0x3a1f1b54a9c99267:0x86975f27c5de805,"Suakati, Banspal, Keonjhar, Odisha, India",https://www.google.com/search?tbm=map&q=Suakati%2C+Banspal%2C+Keonjhar%2C+Odisha%2C+India&hl=en,2026-09-24T08:08:54.930599+00:00
Keonjhar,Banspal,Karangadihi,21.5789972,85.4568968,FES,4,,,name_and_query_agreement,Karangadihi,"Karangadihi, Odisha 758085",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=6610533864959312567,0x3a1f1a952dec8621:0x5bbd5586ac9702b7,"Karangadihi, Banspal, Keonjhar, Odisha, India",https://www.google.com/search?tbm=map&q=Karangadihi%2C+Banspal%2C+Keonjhar%2C+Odisha%2C+India&hl=en,2026-09-24T08:08:56.765973+00:00
Keonjhar,Patana,Chakundapal,21.6750901,85.7743536,Control,5,Already generated & active,Patana block falls in tehsil - Keonjhar (Kendujhar),name_and_query_agreement,Chakundapal,"Chakundapal, Odisha 758017",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=10274631549900598274,0x3a1ef0907e8e363b:0x8e96d2f511d8ac02,"Chakundapal, Patana, Keonjhar, Odisha, India",https://www.google.com/search?tbm=map&q=Chakundapal%2C+Patana%2C+Keonjhar%2C+Odisha%2C+India&hl=en,2026-09-24T08:08:58.673981+00:00
Keonjhar,Ghatagaon,Purumunda,21.4657926,85.7333322,Control,6,,,name_and_query_agreement,Purumunda,"Purumunda, Odisha 758087",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=8257375959809035502,0x3a1ee7ac8d224075:0x729817af9d448cee,"Purumunda, Ghatagaon, Keonjhar, Odisha, India",https://www.google.com/search?tbm=map&q=Purumunda%2C+Ghatagaon%2C+Keonjhar%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:00.775204+00:00
Keonjhar,Banspal,Talakainsari,21.6151433,85.5567068,Control,7,Already generated & active,Banspal block falls in tehsil - Keonjhar (Kendujhar),name_and_query_agreement,Talakainsari,"Talakainsari, Odisha 758018",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=8771581905895698715,0x3a1f032921d512d7:0x79baeb450328311b,"Talakainsari, Banspal, Keonjhar, Odisha, India",https://www.google.com/search?tbm=map&q=Talakainsari%2C+Banspal%2C+Keonjhar%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:03.090169+00:00
Keonjhar,Patana,Rajnagar,21.7637333,85.8089406,Control,8,Already generated & active,Patana block falls in tehsil - Keonjhar (Kendujhar),name_and_query_agreement,Rajnagar,"Rajnagar, Odisha 758017",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=3925396084892007222,0x3a1ef7ae3529e6c5:0x3679cef10ab27b36,"Rajnagar, Patana, Keonjhar, Odisha, India",https://www.google.com/search?tbm=map&q=Rajnagar%2C+Patana%2C+Keonjhar%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:04.955362+00:00
Keonjhar,Ghatagaon,Pandapada,21.465967,85.6964499,LSFP,9,Already generated & active,,name_and_query_agreement,Pandapada,"Pandapada, Odisha 758087",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=17535109602053061954,0x3a1ee7279562dc1f:0xf35939472fe9fd42,"Pandapada, Ghatagaon, Keonjhar, Odisha, India",https://www.google.com/search?tbm=map&q=Pandapada%2C+Ghatagaon%2C+Keonjhar%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:07.170005+00:00
Keonjhar,Patana,Tangarpada,21.6651192,85.8511827,LSFP,10,Already generated & active,Patana block falls in tehsil - Keonjhar (Kendujhar),name_and_query_agreement,Tangarpada,"Tangarpada, Odisha 758030",locality/place point,"Exact place-name match returned for both block-qualified and district-qualified searches; locality point, not a GP boundary or verified office.",https://www.google.com/maps?cid=5318350010796894823,0x3a1ef17ff76895df:0x49ce932830be6a67,"Tangarpada, Patana, Keonjhar, Odisha, India",https://www.google.com/search?tbm=map&q=Tangarpada%2C+Patana%2C+Keonjhar%2C+Odisha%2C+India&hl=en,2026-09-24T08:09:09.306158+00:00
